row,col,temp
3.0,9.0,-4.2122275
3.0,10.0,-4.4310873
3.0,11.0,-4.409955
3.0,12.0,-4.101233
3.0,13.0,-4.016845
3.0,14.0,-4.2206026
3.0,15.0,-4.2406072
3.0,16.0,-4.466412
3.0,17.0,-5.0874868
3.0,18.0,-5.7236712
3.0,19.0,-6.0555807
3.0,20.0,-6.5309591
3.0,21.0,-7.2110752
3.0,22.0,-7.6173123
3.0,23.0,-7.6936719
3.0,24.0,-8.0402085
3.0,25.0,-8.6175656
3.0,26.0,-8.7922553
3.0,27.0,-8.6917977
3.0,28.0,-8.887374
3.0,29.0,-9.2009985
3.0,30.0,-9.1743532
3.0,31.0,-9.1183259
3.0,32.0,-9.3565936
3.0,33.0,-9.6460688
3.0,34.0,-10.015564
3.0,35.0,-11.649873
3.0,36.0,-12.890798
3.0,37.0,-10.511071
3.0,38.0,-9.883733
3.0,39.0,-9.8508268
3.0,40.0,-10.000855
3.0,41.0,-10.050333
3.0,42.0,-10.134544
3.0,43.0,-10.464566
3.0,44.0,-10.749275
3.0,45.0,-10.589495
3.0,46.0,-10.452374
3.0,47.0,-10.615994
3.0,48.0,-10.730748
3.0,49.0,-10.806977
3.0,50.0,-11.861441
3.0,51.0,-11.56899
3.0,52.0,-10.588487
3.0,53.0,-10.478019
3.0,54.0,-10.715232
3.0,55.0,-11.169408
3.0,56.0,-11.531104
3.0,57.0,-11.786625
3.0,58.0,-12.236778
3.0,59.0,-12.61903
3.0,60.0,-12.577524
3.0,61.0,-12.677307
3.0,62.0,-12.89161
3.0,63.0,-12.904951
3.0,64.0,-12.838247
3.0,65.0,-12.974741
3.0,66.0,-13.223397
3.0,67.0,-13.166903
3.0,68.0,-13.015469
3.0,69.0,-13.193337
3.0,70.0,-9999.0
3.0,71.0,-9999.0
3.0,72.0,-9999.0
3.0,73.0,-9999.0
3.0,74.0,-9999.0
3.0,75.0,-9999.0
3.0,76.0,-9999.0
3.0,77.0,-9999.0
3.0,78.0,-9999.0
3.0,79.0,-9999.0
3.0,80.0,-9999.0
3.0,81.0,-9999.0
3.0,82.0,-9999.0
3.0,83.0,-9999.0
3.0,84.0,-9999.0
3.0,85.0,-9999.0
3.0,86.0,-9999.0
3.0,87.0,-9999.0
3.0,88.0,-9999.0
4.0,0.0,-9999.0
4.0,1.0,-9999.0
4.0,2.0,-9999.0
4.0,3.0,-9999.0
4.0,4.0,-9999.0
4.0,5.0,-2.7924141
4.0,6.0,-1.701717
4.0,7.0,-0.9677315
4.0,8.0,-2.1052098
4.0,9.0,-2.8821723
4.0,10.0,-2.6569621
4.0,11.0,-2.5388569
4.0,12.0,-2.7065544
4.0,13.0,-2.2548611
4.0,14.0,-2.0429969
4.0,15.0,-2.6535844
4.0,16.0,-3.5612013
4.0,17.0,-4.0967373
4.0,18.0,-4.6824762
4.0,19.0,-4.9816866
4.0,20.0,-5.5867211
4.0,21.0,-6.3855874
4.0,22.0,-6.8419212
4.0,23.0,-7.0535432
4.0,24.0,-7.690228
4.0,25.0,-8.699696
4.0,26.0,-8.8482683
4.0,27.0,-8.4982537
4.0,28.0,-8.7731907
4.0,29.0,-9.3442606
4.0,30.0,-9.1393654
4.0,31.0,-8.9284416
4.0,32.0,-9.2009327
4.0,33.0,-9.5132385
4.0,34.0,-9.5857865
4.0,35.0,-10.121581
4.0,36.0,-10.290191
4.0,37.0,-9.7989997
4.0,38.0,-9.4909889
4.0,39.0,-9.3966086
4.0,40.0,-9.4239302
4.0,41.0,-9.4833958
4.0,42.0,-9.6302576
4.0,43.0,-9.895503
4.0,44.0,-10.105312
4.0,45.0,-10.02811
4.0,46.0,-9.9868535
4.0,47.0,-10.104142
